"date_time","date","day","field","harvest","hoppers","n_leaves","counter","plant"
2017-06-21 06:15:00,2017-06-21,17,"A","N",6,30,"W","7"
2017-06-21 06:15:00,2017-06-21,17,"A","N",4,30,"W","8"
2017-06-21 06:15:00,2017-06-21,17,"A","N",1,30,"G","9"
2017-06-21 06:15:00,2017-06-21,17,"A","N",0,30,"G","10"
2017-06-21 06:32:00,2017-06-21,17,"B","N",2,30,"G","1"
2017-06-21 06:32:00,2017-06-21,17,"B","N",1,30,"G","2"
2017-06-21 06:32:00,2017-06-21,17,"B","N",1,30,"W","3"
2017-06-21 06:32:00,2017-06-21,17,"B","N",0,30,"E","4"
2017-06-21 06:32:00,2017-06-21,17,"B","N",0,30,"G","5"
2017-06-21 06:32:00,2017-06-21,17,"B","N",1,30,"W","6"
2017-06-21 06:32:00,2017-06-21,17,"B","N",1,30,"E","7"
2017-06-21 06:32:00,2017-06-21,17,"B","N",1,30,"E","8"
2017-06-21 06:32:00,2017-06-21,17,"B","N",1,30,"W","9"
2017-06-21 06:32:00,2017-06-21,17,"B","N",1,30,"E","10"
2017-06-22 06:20:00,2017-06-22,18,"A","N",3,30,"G","1"
2017-06-22 06:20:00,2017-06-22,18,"A","N",4,30,"G","2"
2017-06-22 06:20:00,2017-06-22,18,"A","N",0,30,"G","3"
2017-06-22 06:20:00,2017-06-22,18,"A","N",4,30,"W","4"
2017-06-22 06:20:00,2017-06-22,18,"A","N",2,30,"E","5"
2017-06-22 06:20:00,2017-06-22,18,"A","N",5,30,"W","6"
2017-06-22 06:20:00,2017-06-22,18,"A","N",1,30,"E","7"
2017-06-22 06:20:00,2017-06-22,18,"A","N",3,30,"E","8"
2017-06-22 06:20:00,2017-06-22,18,"A","N",1,30,"W","9"
2017-06-22 06:20:00,2017-06-22,18,"A","N",2,30,"W","10"
2017-06-22 06:34:00,2017-06-22,18,"B","N",1,30,"E","1"
2017-06-22 06:34:00,2017-06-22,18,"B","N",3,30,"E","2"
2017-06-22 06:34:00,2017-06-22,18,"B","N",0,30,"W","3"
2017-06-22 06:34:00,2017-06-22,18,"B","N",0,30,"G","4"
2017-06-22 06:34:00,2017-06-22,18,"B","N",4,30,"E","5"
2017-06-22 06:34:00,2017-06-22,18,"B","N",2,30,"W","6"
2017-06-22 06:34:00,2017-06-22,18,"B","N",1,30,"G","7"
2017-06-22 06:34:00,2017-06-22,18,"B","N",2,30,"G","8"
2017-06-22 06:34:00,2017-06-22,18,"B","N",0,30,"W","9"
2017-06-22 06:34:00,2017-06-22,18,"B","N",4,30,"G","10"
2017-06-23 06:15:00,2017-06-23,19,"A","N",1,30,"W","1"
2017-06-23 06:15:00,2017-06-23,19,"A","N",2,30,"W","2"
2017-06-23 06:15:00,2017-06-23,19,"A","N",1,30,"W","3"
2017-06-23 06:15:00,2017-06-23,19,"A","N",0,30,"G","4"
2017-06-23 06:15:00,2017-06-23,19,"A","N",8,30,"E","5"
2017-06-23 06:15:00,2017-06-23,19,"A","N",0,30,"G","6"
2017-06-23 06:15:00,2017-06-23,19,"A","N",2,30,"E","7"
2017-06-23 06:15:00,2017-06-23,19,"A","N",1,30,"E","8"
2017-06-23 06:15:00,2017-06-23,19,"A","N",1,30,"G","9"
2017-06-23 06:15:00,2017-06-23,19,"A","N",2,30,"G","10"
2017-06-23 06:00:00,2017-06-23,19,"B","N",3,30,"G","1"
2017-06-23 06:00:00,2017-06-23,19,"B","N",1,30,"G","2"
